Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.27744E-3,49.847959511,0.716588418,0.023376623,0,0
1.28333E-3,50.104477818,0.718231918,0.023176823,0,0
1.2881E-3,50.36170672,0.719555536,0.022977023,0,0
1.29075E-3,50.619700002,0.720287076,0.022777223,0,0
1.29259E-3,50.878184853,0.720795328,0.022577423,0,0
1.29937E-3,51.008121893,0.722656799,0.022477522,0,0
1.30424E-3,51.268839008,0.723986346,0.022277722,0,0
1.30554E-3,51.529931368,0.724340412,0.022077922,0,0
1.3147E-3,51.79277981,0.726822414,0.021878122,0,0
1.31778E-3,52.056105368,0.727649491,0.021678322,0,0
1.32483E-3,52.32105653,0.729538767,0.021478521,0,0
1.33084E-3,52.586881816,0.731138885,0.021278721,0,0
1.33406E-3,52.853605872,0.73199149,0.021078921,0,0
1.33759E-3,53.120990158,0.732924689,0.020879121,0,0
1.33801E-3,53.254790659,0.733033616,0.020779221,0,0
1.34326E-3,53.523147832,0.734414739,0.020579421,0,0
1.35475E-3,53.793542661,0.737410258,0.02037962,0,0
1.37251E-3,54.067637917,0.741972877,0.02017982,0,0
1.38013E-3,54.342961538,0.743905825,0.01998002,0,0
1.38723E-3,54.620174495,0.745694194,0.01978022,0,0
1.39435E-3,54.7596097,0.747475743,0.01968032,0,0
1.40032E-3,55.039125703,0.748958187,0.019480519,0,0
1.40779E-3,55.320484458,0.750803453,0.019280719,0,0
1.43514E-3,55.605152981,0.757439267,0.019080919,0,0
1.44821E-3,55.89444022,0.760550168,0.018881119,0,0
1.45329E-3,56.039769388,0.761747045,0.018781219,0,0
1.4832E-3,56.336395389,0.768676733,0.018581419,0,0
1.50452E-3,56.635664832,0.773495057,0.018381618,0,0
1.51318E-3,56.786983171,0.775422947,0.018281718,0,0
1.52961E-3,57.091378512,0.779035419,0.018081918,0,0
1.53715E-3,57.398724193,0.780672805,0.017882118,0,0
1.53948E-3,57.552672238,0.781176988,0.017782218,0,0
1.54813E-3,57.86183856,0.783037057,0.017582418,0,0
1.55524E-3,58.017362079,0.784553405,0.017482517,0,0
1.57938E-3,58.332673661,0.789626478,0.017282717,0,0
1.58556E-3,58.649594093,0.790906672,0.017082917,0,0
1.58681E-3,58.808274986,0.791163997,0.016983017,0,0
1.59282E-3,59.126668061,0.792398547,0.016783217,0,0
1.59947E-3,59.286614704,0.793756787,0.016683317,0,0
1.60732E-3,59.607999711,0.795349145,0.016483516,0,0
1.60951E-3,59.768950797,0.795791384,0.016383616,0,0
1.61288E-3,60.091342849,0.796469955,0.016183816,0,0
1.61515E-3,60.252857686,0.796924509,0.016083916,0,0
1.62149E-3,60.576591392,0.798192526,0.015884116,0,0
1.62688E-3,60.901613049,0.799262716,0.015684316,0,0
1.62805E-3,61.064418315,0.799494627,0.015584416,0,0
1.64195E-3,61.392603387,0.802225943,0.015384615,0,0
1.6432E-3,61.556923219,0.802469691,0.015284715,0,0
1.64893E-3,61.886350096,0.803584454,0.015084915,0,0
1.64962E-3,62.051311901,0.80371736,0.014985015,0,0
1.66704E-3,62.384585088,0.80706372,0.014785215,0,0
1.66733E-3,62.55131785,0.807118497,0.014685315,0,0
1.67142E-3,62.885473296,0.807896877,0.014485514,0,0
1.67207E-3,63.052680297,0.808019231,0.014385614,0,0
1.68051E-3,63.388202476,0.809612142,0.014185814,0,0
1.70489E-3,63.558691311,0.814138277,0.014085914,0,0
1.74337E-3,63.906586781,0.821065184,0.013886114,0,0
1.76593E-3,64.083179303,0.82500479,0.013786214,0,0
1.76973E-3,64.260152063,0.825660319,0.013686314,0,0
1.79096E-3,64.618096372,0.829275226,0.013486513,0,0
1.79745E-3,64.797840993,0.830365373,0.013386613,0,0
1.80302E-3,65.158323573,0.831296572,0.013186813,0,0
1.82246E-3,65.340569142,0.834501502,0.013086913,0,0
1.83017E-3,65.523585714,0.835756154,0.012987013,0,0
1.83661E-3,65.890409603,0.836796875,0.012787213,0,0
1.8405E-3,66.074459249,0.837422375,0.012687313,0,0
1.8412E-3,66.258579738,0.837536013,0.012587413,0,0
1.85696E-3,66.629203784,0.840043023,0.012387612,0,0
1.86303E-3,66.815506675,0.840998174,0.012287712,0,0
1.86323E-3,67.001829277,0.841029103,0.012187812,0,0
1.89987E-3,67.380312979,0.846676194,0.011988012,0,0
1.90201E-3,67.570514427,0.847000247,0.011888112,0,0
1.90955E-3,67.761468955,0.848133281,0.011788212,0,0
1.91815E-3,68.144891585,0.849417206,0.011588412,0,0
1.92986E-3,68.337877985,0.851148617,0.011488511,0,0
1.93236E-3,68.531113668,0.851514409,0.011388611,0,0
1.94741E-3,68.919454412,0.853704941,0.011188811,0,0
1.96131E-3,69.11558492,0.85569696,0.011088911,0,0
1.97506E-3,69.313091288,0.857643346,0.010989011,0,0
1.97825E-3,69.510915837,0.858089714,0.010889111,0,0
2.02027E-3,69.914888304,0.863856023,0.010689311,0,0
2.03624E-3,70.118511931,0.865984263,0.010589411,0,0
2.04132E-3,70.322644176,0.866655355,0.01048951,0,0
2.05504E-3,70.528148002,0.868448374,0.01038961,0,0
2.063E-3,70.940031151,0.869478116,0.01018981,0,0
2.06437E-3,71.146468332,0.86965471,0.01008991,0,0
2.06693E-3,71.35316104,0.869983039,0.00999001,0,0
2.10123E-3,71.563284227,0.874311637,0.00989011,0,0
2.10227E-3,71.773510833,0.874439871,0.00979021,0,0
2.12983E-3,72.19857359,0.877809992,0.00959041,0,0
2.13364E-3,72.411937517,0.878268366,0.009490509,0,0
2.16022E-3,72.627959196,0.881420163,0.009390609,0,0
2.16115E-3,72.844074514,0.881529708,0.009290709,0,0
2.17178E-3,73.06125281,0.882766173,0.009190809,0,0
2.17346E-3,73.27859924,0.882960562,0.009090909,0,0
2.18069E-3,73.714273823,0.883791957,0.008891109,0,0
2.182E-3,73.932473376,0.88394195,0.008791209,0,0
2.18373E-3,74.150846249,0.884140322,0.008691309,0,0
2.19141E-3,74.369987575,0.885015764,0.008591409,0,0
2.19638E-3,74.589625565,0.885578055,0.008491508,0,0
2.24096E-3,74.813721966,0.89050404,0.008391608,0,0
2.25182E-3,75.038903795,0.891670847,0.008291708,0,0
2.30595E-3,75.269499163,0.897307222,0.008191808,0,0
2.35378E-3,75.50487727,0.902042335,0.008091908,0,0
2.38355E-3,75.980854683,0.90487823,0.007892108,0,0
2.39516E-3,76.220371099,0.905962878,0.007792208,0,0
2.40674E-3,76.461044934,0.907031037,0.007692308,0,0
2.41471E-3,76.702516068,0.907759783,0.007592408,0.1,0
2.44904E-3,76.947420299,0.910833,0.007492507,0.1,0
2.45031E-3,77.192450965,0.910944206,0.007392607,0.1,0
2.46075E-3,77.438525882,0.911857382,0.007292707,0.1,0
2.47465E-3,77.685991117,0.913058673,0.007192807,0.1,0
2.50807E-3,77.936798137,0.915879564,0.007092907,0.1,0
2.5149E-3,78.188288144,0.916444729,0.006993007,0.1,0
